District,Ward,"Geos(String format: Long,Lat)",Google map link,Open for FD Zones?,
Gò Vấp,1,"[106.682151794434,10.8108186721803 106.685600280762,10.8171081542969 106.687103271484,10.8196144104003 106.689041137695,10.8209180831909 106.693519592285,10.8220109939576 106.694122314453,10.8205280303955 106.692687988281,10.8186845779418 106.693336486816,10.8178482055664 106.692054748535,10.8175401687622 106.691307067871,10.8156671524048 106.689498901367,10.8148813247681 106.688270568848,10.8158035278321 106.687393188477,10.8147077560425 106.685089111328,10.8139448165894 106.685188293457,10.81156539917 106.683990478516,10.8099689483643 106.682151794434,10.8108186721803]","https://www.google.com/maps/place/G%C3%B2+V%E1%BA%A5p,+Ho+Chi+Minh+City,+Vietnam/@10.8354056,106.6489405,14z/data=!3m1!4b1!4m5!3m4!1s0x317529078b51e6eb:0x28bd5bd9f01a1edc!8m2!3d10.8386779!4d106.6652904",OK,6
Gò Vấp,3,"[106.682151794434,10.8108186721803 106.681922912598,10.8104028701782 106.680793762207,10.811019897461 106.680610656738,10.8119516372681 106.678611755371,10.8120794296265 106.678558349609,10.8112850189209 106.672798156738,10.8141279220581 106.674987792969,10.8151292800903 106.676048278809,10.8148527145386 106.675628662109,10.8165054321289 106.674186706543,10.8179798126221 106.674873352051,10.8182992935181 106.673332214355,10.8223590850831 106.678337097168,10.8252019882203 106.678596496582,10.8261451721191 106.677597045898,10.827013015747 106.679992675781,10.8264856338502 106.682029724121,10.8230104446412 106.68350982666,10.8203105926514 106.682388305664,10.8188753128051 106.685600280762,10.8171081542969 106.682151794434,10.8108186721803]",,OK,
Gò Vấp,4,"[106.685600280762,10.8171081542969 106.682388305664,10.8188753128051 106.68350982666,10.8203105926514 106.682029724121,10.8230104446412 106.685615539551,10.8248853683473 106.686546325684,10.8241577148438 106.688064575195,10.8229417800903 106.689041137695,10.8209180831909 106.687103271484,10.8196144104003 106.685600280762,10.8171081542969]",,OK,
Gò Vấp,5,"[106.693519592285,10.8220109939576 106.689041137695,10.8209180831909 106.688064575195,10.8229417800903 106.686546325684,10.8241577148438 106.690635681152,10.8275613784789 106.684417724609,10.8344860076905 106.688903808594,10.8388271331788 106.690795898438,10.8357238769531 106.692230224609,10.8306732177735 106.693489074707,10.8300476074219 106.695281982422,10.8310556411743 106.69979095459,10.8302946090698 106.699577331543,10.8286399841309 106.700859069824,10.8282098770142 106.701065063477,10.8271532058716 106.699165344238,10.8257246017456 106.698616027832,10.8232431411744 106.693519592285,10.8220109939576]",,OK,
Gò Vấp,6,"[106.684417724609,10.8344860076905 106.682136535645,10.8335256576539 106.680374145508,10.8381090164186 106.676612854004,10.8419857025146 106.678405761719,10.8470010757446 106.678886413574,10.8509511947633 106.680473327637,10.8510665893555 106.683609008789,10.8516120910646 106.684226989746,10.8502397537232 106.683006286621,10.8485689163209 106.683334350586,10.847228050232 106.686660766602,10.8473310470582 106.68807220459,10.8463096618652 106.68920135498,10.8439092636108 106.688903808594,10.8388271331788 106.684417724609,10.8344860076905]",,Not open,
Gò Vấp,7,"[106.686546325684,10.8241577148438 106.685615539551,10.8248853683473 106.682029724121,10.8230104446412 106.679992675781,10.8264856338502 106.677589416504,10.8308658599854 106.678321838379,10.8306198120117 106.682136535645,10.8335256576539 106.684417724609,10.8344860076905 106.690635681152,10.8275613784789 106.686546325684,10.8241577148438]",,OK,
Gò Vấp,8,"[106.657249450684,10.8353319168091 106.652061462402,10.8368330001832 106.649108886719,10.8366155624391 106.646331787109,10.8373432159424 106.647155761719,10.8392772674562 106.640151977539,10.8443393707277 106.644172668457,10.8462619781494 106.648361206055,10.8437013626099 106.657150268555,10.8425579071044 106.658332824707,10.8364410400392 106.657249450684,10.8353319168091]",,Not open,
Gò Vấp,9,"[106.657150268555,10.8425579071044 106.648361206055,10.8437013626099 106.644172668457,10.8462619781494 106.656143188477,10.8514709472657 106.65690612793,10.8477029800416 106.657150268555,10.8425579071044]",,Not open,
Gò Vấp,10,"[106.677589416504,10.8308658599854 106.679992675781,10.8264856338502 106.677597045898,10.827013015747 106.674499511719,10.8261833190919 106.673118591309,10.827956199646 106.670433044434,10.827169418335 106.668014526367,10.8283920288087 106.666137695313,10.8284521102905 106.663581848144,10.8306741714478 106.665252685547,10.8386459350586 106.670562744141,10.8386116027833 106.675529479981,10.83855342865 106.675605773926,10.8352251052858 106.677589416504,10.8308658599854]",,OK,
Gò Vấp,11,"[106.663581848144,10.8306741714478 106.65934753418,10.833194732666 106.657249450684,10.8353319168091 106.658332824707,10.8364410400392 106.657150268555,10.8425579071044 106.65690612793,10.8477029800416 106.660415649414,10.8469877243043 106.660377502441,10.8462638854982 106.66480255127,10.8449735641479 106.665252685547,10.8386459350586 106.663581848144,10.8306741714478]",,Not open,
